ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Latitude / Longitude (UAS),Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory.1,Aircraft Operator.1,Make Model Name.1,Aircraft Zone.1,Crew Size.1,Operating Under FAR Part.1,Flight Plan.1,Mission.1,Nav In Use.1,Flight Phase.1,Route In Use.1,Airspace.1,Maintenance Status.Maintenance Deferred.1,Maintenance Status.Records Complete.1,Maintenance Status.Released For Service.1,Maintenance Status.Required / Correct Doc On Board.1,Maintenance Status.Maintenance Type.1,Maintenance Status.Maintenance Items Involved.1,Cabin Lighting.1,Number Of Seats.Number.1,Passengers On Board.Number.1,Crew Size Flight Attendant.Number Of Crew.1,Airspace Authorization Provider (UAS).1,Operating Under Waivers / Exemptions / Authorizations (UAS).1,Waivers / Exemptions / Authorizations (UAS).1,Airworthiness Certification (UAS).1,Weight Category (UAS).1,Configuration (UAS).1,Flight Operated As (UAS).1,Flight Operated with Visual Observer (UAS).1,Control Mode (UAS).1,Flying In / Near / Over (UAS).1,Passenger Capable (UAS).1,Type (UAS).1,Number of UAS Being Controlled (UAS).1,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person.1,Location In Aircraft.1,Reporter Organization.1,Function.1,Qualification.1,Experience.1,Cabin Activity.1,Human Factors.1,Communication Breakdown.1,UAS Communication Breakdown.1,ASRS Report Number.Accession Number.1,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Narrative,Callback,Narrative.1,Callback.1,Synopsis,Unnamed: 125,Dirty_Airport_Name
1765375,202010,1801-2400,Baltimore/Washington Intl,MD,,,0.0,,,,,,Night,,,Ground BWI,Air Carrier,Commercial Fixed Wing,,2.0,Part 121,IFR,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 92,,Confusion; Situational Awareness; Communication Breakdown,Party1 Flight Crew; Party2 ATC,,1765375,,,,,,,,,,,,ATC Issue All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Clearance; Ground Incursion Taxiway,,,Person Flight Crew,Taxi,Air Traffic Control Provided Assistance; Flight Crew Requested ATC Assistance / Clarification,Human Factors; Environment - Non Weather Related; Chart Or Publication,Chart Or Publication,Planned landing in BWI on Runway 33L. We were assigned to park at Gate X. On the current ATIS; it had a NOTAM that said 'Taxi F closed between Taxiway P and Taxiway T.' So we had an expectation bias to exit Runway 33L at Taxiway F and that our taxi-in instructions would be to taxi to Gate X via Taxiway P; E; and T. Partly contributing to this expectation was the fact that the last time I flew a month ago; there was also construction on Taxiway T between Taxiways H and F. We also had an additive condition which I briefed at the beginning of the trip that this was my first trip back to work after not flying for 30 days.However; after landing rollout and upon exiting Runway 33L at Taxiway F; we were given instructions by Tower to taxi to Gate X via 'Taxiway P; T to T; and contact Ground.' I thought the Controller had stuttered when he said 'T to T.' So I made the right turn from F to P; thinking he meant 'P; E; T.' We contacted Ground after making the right turn on to Taxiway P. Ground then told us we had turned the wrong way and should have been going the opposite direction on P; then T2; to T. We asked what Taxiway T2 is; since Taxiway T2 is not depicted anywhere on the 10-9 page. He said it is a new taxiway. I do not recall any NOTAMs saying there is a new Taxiway T2; nor where it is located. There was nothing on the ATIS about it.We did not cause any traffic conflicts and held at our current position so that outbound aircraft could taxi out. We were then cleared to our gate without any further incident.In the future; I will remember to stop the aircraft immediately and query ATC whenever there is any doubt or ambiguity in a taxi clearance. Also recommend that the BWI airport advise on their ATIS and their NOTAMs that there is a new Taxiway T2. Furthermore; I would recommend they use a different name for the new Taxiway; as the two different phrases 1) 'T to...' and 2) 'T2' can be easily misconstrued for each other in a verbal clearance.',,,,Air Carrier Captain reported a taxiway incursion and stated Taxiway T2 which was included in their clearance is not charted.,,Baltimore/Washington Intl
1767808,202010,0601-1200,Baltimore Washington International,MD,,,0.0,,,,Fog,,,,,,Air Carrier,Widebody; Low Wing; 2 Turbojet Eng,,,Part 121,,,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),,,Confusion,,,1767808,Aircraft X,Flight Deck,Air Carrier,First Officer,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),,,Confusion,,,1768051.0,Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Crew,Taxi,Air Traffic Control Provided Assistance; Flight Crew Requested ATC Assistance / Clarification,Weather; Chart Or Publication,Chart Or Publication,The Jeppesen 10-9E Low Visibility taxi chart flow pattern does not concur with BWI Ground Control taxi charts. We contacted Ground Control before push and asked if we could expect Runway 10 instead of Runway 15R due to the flow pattern shown on 10-9E SMGCS Low Visibility chart. Taxiing to Runway 15R was against the directional flow pattern shown on Taxiway F. We explained our concern to the Ground Controller. This was not an option because their charts did not show Runway 10 for departure during low visibility operation from our position at the new Midfield Cargo Complex. Our charts show taxi available to Runway 10. We discussed this to our Dispatcher; Duty pilot and Ops. We requested a 'follow me' service provided by the airport to guide us safely though the low visibility to Runway 15R. [I suggest] a revision to BWI Ground control SMGCS (Surface Movement Guidance and Control System) Low Visibility taxi charts for departures to Runway 10 from Midfield Cargo Complex as shown on Jeppesen Low Visibility SMGCS chart 10-9E; [and also] change taxi flow direction for operation from Midfield Cargo to Runway 15R.,,During pre-departure briefing; we noticed that SMGCS (Surface Movement Guidance and Control System) Low Visibility taxi chart for Runway 10 and Runway 15R; from our current position; we could only use Runway 10 for departure. I contacted BWI Ground to request Runway 10 for departure. BWI Ground responded that due to low visibility procedures in effect; Runway 10 was in use for arrivals and Runway 15R for departure and our taxi route would be [Taxiways] G; F; P to Runway 15R. I explained to him that according to the SMGCS chart we would be taxiing against flow on Taxiway F and we could taxi to Runway 10. Ground responded that he did not have charts for a low visibility taxi to Runway 10. We contacted Dispatch; Duty Pilot and Ops. We requested a 'follow me' to guide us to Runway 15R on the expected route and departed.[I recommend] BWI Ground update their SMGCS charts and establish a low visibility taxi route to go from Midfield Cargo to Runway 15R.,,Flight crew reported a low visibility taxi chart discrepancy.,,Baltimore Washington International
1768964,202010,1801-2400,GAI.Airport,MD,,,500.0,,,VMC,10,,Dusk,,,CTAF GAI,Personal,Small Aircraft; Low Wing; 1 Eng; Fixed Gear,,2.0,Part 91,VFR,Training,,Final Approach,Visual Approach,Class E ZDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTAF GAI,,Small Aircraft; Low Wing; 1 Eng; Fixed Gear,,1.0,Part 91,VFR,Training,,Final Approach,Visual Approach,Class E ZDC,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Cabin Jumpseat,Personal,Pilot Not Flying,Flight Crew Commercial; Flight Crew Flight Instructor; Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 121; Flight Crew Total 697; Flight Crew Type 291,,Training / Qualification; Communication Breakdown,Party1 Flight Crew; Party2 Flight Crew,,1768964,,,,,,,,,,,,Conflict NMAC; Deviation / Discrepancy - Procedural Published Material / Policy,Horizontal 100; Vertical 100,,Person Flight Crew,In-flight,Flight Crew Took Evasive Action,Airport; Procedure,Procedure,I was acting as an instructor to a CPL who was new to flying the Aircraft X Type. He had spent all of his time up to this point flying the Aircraft Y Type; so I was helping him familiarize himself with the different aircraft. We were doing pattern work while several other aircraft were in the pattern.  Upon getting abeam the numbers and beginning our descent; there was an aircraft on long final (roughly 2-2.5 miles) that we did not hear on the radio.  We continued with our base; and final. The CPL whom I was instructing did not speak very strong english; and was having some trouble with the radio calls in the pattern; and occasionally neglecting to make them. In this instance; he neglected to call his base; and also neglected to call final.  I noticed this only after him turning final without saying anything; and immediately announced our one mile final. This set up a situation where a near miss occurred between us and the other aircraft who was on long final. The aircraft that was on a long final did not call an extended downwind; or a base.  They called final and neglected to give any mileage to indicate they had flown a much larger pattern than usual for a light general aviation plane. The other aircraft noticed us only because I called our final; and immediately broke off his final leg to avoid collision.  I spoke with their pilot after this incident and he said we were slightly above them and cut them off. I believe this incident was caused by a number of factors mentioned above; and could have been avoided with better radio work on the part of my aircraft and the other one on final.  I had a high workload at the moment; which caused my attention to lapse when the CPL turned base without making the call.  However; the pilot on the other aircraft also did not specify that he was purposely flying a large pattern with an extended downwind/base/final.  His failure and mine to accurately give position reports caused the incident.   I also believe that often pilots become complacent and fly a pattern which is far too large at this airport.  There are several times in a week where I have to extend my pattern to a point where I would not be able to make the runway in the event of an engine failure.  Routinely; general aviation aircraft at the airport fly a 2+ mile final; which should be considered a 'long' final.  Like in the incident mentioned; this can cause confusion when someone joins flying a smaller; more appropriate pattern.,,,,Flight Instructor reported a NMAC of final resulted in Evasive action.,,
1774163,202011,1201-1800,GAI.Airport,MD,120.0,3.0,1000.0,,,VMC,10,,Daylight,12000.0,5000.0,CTAF GAI,Personal,Small Aircraft; Low Wing; 1 Eng; Fixed Gear,,1.0,Part 91,None,Training,,Landing,Visual Approach,Class G GAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Personal,Small Transport,,1.0,Part 91,IFR,Personal,,Landing,,Class G GAI,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Personal,Single Pilot,Flight Crew Instrument; Flight Crew Private,Flight Crew Last 90 Days 20; Flight Crew Total 2000; Flight Crew Type 1800,,Communication Breakdown,Party1 Flight Crew; Party2 Flight Crew,,1774163,,,,,,,,,,,,Conflict Ground Conflict; Less Severe; Conflict Airborne Conflict; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Clearance,Horizontal 3,,Person Flight Crew,In-flight,Flight Crew Became Reoriented,Airspace Structure; Human Factors; Airport,Ambiguous,I file this report for two reasons: to note a particular pilot's decision-making; and to talk about a larger potentially dangerous airport-environment situation.  Here is the relevant data:- The airport in question is Montgomery County Airpark; in Gaithersburg; Maryland; GAI. It is a very busy *uncontrolled* airport. It is within the DC SFRA; so pilots must obtain a discrete transponder code from Potomac Approach before taking off; and before re-entering the SFRA from outside. - The airport's only runway is 32/14; about 4000 feet long. The airport ATIS specifies that Runway 14 is preferred in calm-wind conditions. Also; the only approach to GAI is an RNAV/LPV approach to Runway 14. - There is a very; very active primary-training type airport. Nearly all of its students are [from] overseas; and the frequency of their flight means that the traffic-pattern at the airport is usually 'full.' It is typical to have one plane doing a runup; another taking off; another on downwind turning to base; and two or three others approaching from the north; all at the same time.- On the morning of this incident; winds had been in the 5 kt range--but from the north. So traffic through the morning had been all on Runway 32. - Now; the time in question. It was about XA:00 local EST. I was approaching from the north; and I received a code for entering the SFRA from Potomac Approach. As is usual practice; when I was about 12 miles north of GAI; I told Potomac; 'Gaithersburg in sight;' and they gave the formulaic response: 'Stay on discrete transponder code until landing; remain outside Class Bravo; switch to local frequency approved.' So I switched to the local UNICOM; 123.075.-I heard on the frequency what I also saw on my ADS-B display: That the pattern was; as usual; 'busy;' with three or four planes at various points in the circuit. And all of them were using Runway 32. (The winds at that moment were reporting calm on ATIS; but the pattern had been in steady use all day; on 32.)-Over the next eight minutes or so; between first radio contact and landing; I noticed two recurrent phenomena. One was many planes reporting their progress and position in a pattern for Runway 32.  I made calls; beginning at 8 miles out; with intentions to follow the established local practice. ('Forty-five to join right downwind for Runway 32.') The other notable entry was one airplane (Airplane X) that reported it was to the west; and 'straight in landing; Runway 14.'-A plane reports 'downwind 32.' Aircraft X says; 'straight in; Runway 14.' Another plane says; 'Aircraft X; we are using 32; please circle to land.' Aircraft pilot says; 'Straight in Runway 14.' At least twice; and I think three times; flight instructors say 'Aircraft X; PLEASE circle to land 32. We are all using 32.' Aircraft X replies; 'Straight in; 14.'-I kept reporting my own position; and said at one point 'Aircraft X; I am turning base to final for landing 32.' At that point I could see him descending to 14 -- i.e.; head on. The distances were such that it was clear to me that I could land safely and normally; and get off the runway; before he got too close.   And I proceeded to land. I turned off the runway halfway down; while he was still probably a mile out on opposite-direction final. All the other planes in the Runway 32 pattern extended their downwind etc.; to land. -The two planes landed at XA:07 pm EST; but in opposite directions.-Later; I saw someone who I assumed to be the Aircraft X pilot. He was; and I asked him: 'Why did you do that?' His answer was that he was fine-tuning the coupled-autopilot and wanted to fly an approach all the way down. -Note: I have been in this situation myself too; wanting to check out autopilots. But I choose airports where I can do so in keeping with the local traffic flow. -The main problem in this scenario was the Aircraft X pilot; who insisted on plowing ahead despite repeated requests on the frequency to switch to join the busy local traffic flow. I realize this is not an 'enforcement' forum; and I mention it just FYI.-The larger point is that the Gaithersburg airport has become unsustainably busy; for its uncontrolled status.  I have landed there probably X times over the past XX years. I *always* view the most challenging part of any trip to be the final 10 minutes of trying to fit into the uncontrolled but increasingly busy traffic pattern there.  With many primary students in training; they're often doing unexpected things in the pattern; or are uncertain in radio calls. Suggestion / request: Sooner or later there is going to be some safety incident at this airport; coming from too much traffic with too little control. A tower controller would *never* have allowed the situation I'm reporting to emerge. This is a problem waiting to happen at this airport.,,,,GA pilot reported that while landing at an uncontrolled airport another aircraft landed on the same runway; opposite direction. Reporter stated the airport was always busy and should become a tower-controlled airport.,,
1777489,202012,0601-1200,BWI - Baltimore,MD,,,0.0,,,,Icing; Snow,,Dawn,,,Tower BWI,Air Carrier,Commercial Fixed Wing,,2.0,Part 121,IFR,Cargo / Freight / Delivery,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,Nosewheel Steering,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,,,Troubleshooting,,,1777489,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Loss Of Aircraft Control; Ground Event / Encounter Weather / Turbulence,,,Person Flight Crew,Taxi,Flight Crew Regained Aircraft Control; Flight Crew Overcame Equipment Problem,Aircraft; Weather,Weather,After pushback from gate in BWI; the ground crew removed the steering bypass pin.  They did not verify the bypass handle had returned to the normal steering position.  Pushback was stopped early because tug began to slide on the ramp.  We disconnected within 10 feet of the normal engine start position.  After engine start as I attempted to taxi due to a very slippery ramp condition we immediately began to slide without nose wheel steering.  I stopped the aircraft and reported poor to nil braking on the ramp thinking the slide was caused by outside conditions.  We advised ATC we were holding our position.  Maintenance came out to the aircraft and after plugging in reported that the bypass lever had inadvertently been stuck in the bypass position after the pin was removed.  The aircraft had been on the ground for four to five hours in freezing precipitation.  We had deiced at the gate but I am unsure if remaining frozen contamination caused the lever to not spring back to the normal position.  We advised ATC that we had found a stuck bypass lever and were now ready to taxi.  Ramps and taxiways were poor as [Air Carrier] had an Aircraft X slide off Taxiway F across from the Midfield Freight area.,,,,After pushback ground crew failed to complete proper steps to reengage nose wheel steering. Air carrier flight crew noticed immediately upon taxi out they had no control over aircraft steering.,,BWI - Baltimore
1778041,202012,1201-1800,ESN.Tower,MD,,,,440.0,,,Haze / Smoke; 5,,,1500.0,,Tower ESN,,Small Aircraft,,1.0,Part 91,IFR,,,Final Approach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,,Instructor,Flight Crew Commercial; Flight Crew Flight Instructor; Flight Crew Instrument,,,Situational Awareness,,,1778041,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Unstabilized Approach; Inflight Event / Encounter CFTT / CFIT,,,Automation Air Traffic Control; Person Air Traffic Control,In-flight,Air Traffic Control Issued Advisory / Alert; Flight Crew Executed Go Around / Missed Approach,Human Factors,Human Factors,While conducting RNAV Runway 15 approach into ESN; received a low altitude alert from Easton Tower while at our MDA of 440 ft. MSL. We immediately climbed to 550 ft. MSL and conducted a missed approach once at the MAP. My assumption is that the aircraft descended too rapidly; causing us to be below glide slope as indicated by the PAPI's.,,,,Flight instructor reported executing a missed approach from an instrument approach after descending below minimums.,,
1785645,202101,0601-1200,FDK.Airport,MD,49.0,10.0,,2800.0,,VMC,10,,Daylight,12000.0,,Tower FDK,Personal,Small Aircraft,,,Part 91,None,Training,Localizer/Glideslope/ILS Runway 23,Final Approach,Visual Approach,Class D FDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tower FDK,Personal,Small Aircraft,,,Part 91,None,Training,Localizer/Glideslope/ILS Runway 23,Final Approach,,Class D FDK,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Personal,Instructor; Pilot Not Flying,Flight Crew Instrument; Flight Crew Flight Instructor; Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine,Flight Crew Last 90 Days 274; Flight Crew Total 3000; Flight Crew Type 350,,Communication Breakdown; Situational Awareness; Distraction; Confusion,Party1 Flight Crew; Party2 Flight Crew,,1785645,,,,,,,,,,,,Conflict NMAC; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy,Horizontal 500; Vertical 100,,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Flight Crew Executed Go Around / Missed Approach; Flight Crew Took Evasive Action,Human Factors,Human Factors,Aircraft X; was a training flight with a student performing a practice ILS Approach to FDK Runway 23; authorized and approved by FDK Tower.  Aircraft X was 10 miles from Runway 23; approaching the NUMBE intersection on the 295-degree radial from the EMI VORTAC; the authorized feeder-route to the FDK ILS Runway 23 Approach.After receiving such approval; Aircraft Y; requested the same practice ILS Approach and self-announced they were 2 miles from NUMBE; but based on the ADS-B display in Aircraft X; Aircraft Y was approaching the inbound localizer course from the northwest; from which there is no authorized transition or feeder route.Aircraft Y told FDK Tower they would follow behind Aircraft X and slow down but at various points and times between NUMBE; the IAF (10 nm from Runway 23); and Runway 23; Aircraft Y was as close as 500 horizontal feet behind Aircraft X and was proceeding at a higher rate of speed than Aircraft X.Twice during the practice ILS Approach; the ADS-B-based Traffic Alerting System in Aircraft X (the leading aircraft) sounded an aural and visual caution (yellow); meaning Aircraft Y was closing in on the tail of Aircraft X.The flight student in Aircraft X was spooked by these warnings; as well as the radio calls from Aircraft Y saying they were 'too close'; and had difficulty controlling the aircraft and/or experiencing productive learning.Because of this high risk; and the student's unease with the entire situation; Aircraft X aborted the practice ILS 23 Approach and took evasive action (executing the missed approach 1.5-miles from Runway 23 and side-stepping to the left); to get out of the way of the closing aircraft; Aircraft Y.Subsequently; while on the ground; Aircraft Y's Certificated Flight Instructor and co-pilot approached the crew of Aircraft X and laughed at Aircraft X for 'flying too slow.'The crew of Aircraft X felt this was an inappropriate and unsafe display of arrogance; especially in light of Aircraft Y's violation of FAR Section 91.113 (f).,,,,GA flight instructor reported an NMAC during an ILS Runway 23 approach to FDK airport.  The reporter stated an aircraft following them on the same approach was flying faster than them causing the ADS-B Traffic Alerting System to go off twice resulting in a missed approach/go-around.,,
1795950,202103,0001-0600,BWI,MD,,,,5000.0,,,,,,,,TRACON PCT,Air Carrier,Commercial Fixed Wing,,2.0,Part 121,IFR,Passenger,,Initial Approach,,Class B BWI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other unknown,Small Aircraft,,1.0,Part 91,,Other unknown,,Cruise,,Class B BWI,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine; Flight Crew Instrument,,,,,,1795950,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Conflict NMAC,Vertical 400,,Automation Aircraft RA; Person Flight Crew,In-flight,General None Reported / Taken,Human Factors,Human Factors,TA/RA on arrival. Flying the RAVEN6 arrival into BWI; we were level at 5;000 feet when a small aircraft flew beneath us. The aircraft showed to be 400 feet beneath us; and at that time the TCAS RA did not want us to maneuver.  Once we passed the traffic; we notified ATC and landed.,,,,Air carrier Captain reported an NMAC during approach to BWI airport.,,BWI
1801558,202104,1201-1800,FDK.Airport,MD,90.0,1.5,,1300.0,,VMC,10,,Daylight,10000.0,,Tower FDK,FBO,Small Aircraft; High Wing; 1 Eng; Fixed Gear,,1.0,Part 91,None,Training,,Cruise,,Class D FDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tower FDK,,Any Unknown or Unlisted Aircraft Manufacturer,,,Part 91,,,,,Direct,Class D FDK,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,FBO,Instructor; Pilot Not Flying,Flight Crew Commercial; Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Flight Instructor,Flight Crew Last 90 Days 170; Flight Crew Total 910; Flight Crew Type 654,,Situational Awareness,,,1801558,,,,,,,,,,,,Conflict NMAC; Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy,Horizontal 50; Vertical 100,,Person Flight Crew,In-flight,Flight Crew Took Evasive Action,Human Factors,Human Factors,While in the traffic pattern at FDK; another plane that was cleared for takeoff and departing to the east; flew right into the traffic pattern that was in left pattern for the active runway. I was concentrating on the aircraft I was following on and maintaining separation from which is why I didn't see the aircraft coming.The aircraft came close enough that I could see the individual fins in the engine cowling. The pilot in question didn't realize he did anything bad.I had to pull power to idle; went partially weightless in the seat with the student; and approximately 45+ degrees pitch down in order to avoid the aircraft. I recovered at about 400 feet AGL before climbing back into the traffic pattern.There isn't really a chain of events here; or a complex swiss cheese model; this was a reckless pilot who disregarded scanning for other aircraft and nearly collided with another.I've personally had two ATC directed; and three total (including this one) near misses within 2-3 nm of the field at FDK.,,,,Light aircraft Instructor Pilot reported an NMAC with another aircraft in the traffic pattern at FDK airport.,,
1819514,202106,0601-1200,ESN.Airport,MD,,,,,,,,,,,,TRACON PCT,Corporate,Light Transport; Low Wing; 2 Turbojet Eng,,2.0,Part 91,IFR,Passenger,,Initial Approach,,Class E ZDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Corporate,Captain,Flight Crew Flight Instructor; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine; Other DPE,Flight Crew Last 90 Days 25; Flight Crew Total 16000; Flight Crew Type 900,,Distraction,,,1819514,,,,,,,,,,,,ATC Issue All Types; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Crew,In-flight,General None Reported / Taken,Procedure,Procedure,Potomac TRACON Chesapeake Sector always issues the BWI altimeter; regardless of the destination of the IFR flight within the sector. This occurs whether the pilot is calling with an initial check-in or being cleared for an approach. TRACON always issues the BWI altimeter; even though they are provided the ESN weather data (Tower/ASOS). Note that BWI and ESN altimeters rarely are the same. When cleared for an instrument approach to ESN; a pilot should be given the ESN altimeter and not BWI's. As a local pilot; I am keenly aware of the discrepancy in altimeter settings provided by the TRACON; therefore; I ignore the altimeter setting given to me by the TRACON. However; transient pilots may overlook the discrepancy and subsequently descend below minimums on an IAP into ESN. I have talked to Chesapeake Sector supervisors about the problem but haven't been successful in convincing TRACON management that their procedures should be changed.,,,,Designated Pilot Examiner believes pilots should always receive destination airport altimeter setting when checking in to the next TRACON controller instead of receiving a common altimeter setting to maintain separation in that sector.,,
